PM2.5,AQI,Year_age_in_years,CO,City_Gurugram,City_Talcher,PM10,Month,NOx,Day,AQI_Bucket,City_Patna,City_Delhi,Date,City_Guwahati,City_Thiruvananthapuram,City_Lucknow,City_Shillong,City_Kolkata,City_Visakhapatnam,Year,Target,Linear_SVR_0
313.22,472.0,9,0.92,0,0,607.98,1,17.15,1,4,0,0,0,0,0,0,0,0,0,2015,313.22,313.22022614537593
313.22,472.0,9,1.17,0,0,607.98,1,22.68,1,4,0,0,0,0,0,0,0,0,0,2015,313.22,313.2196918184058
313.22,472.0,9,15.2,0,0,607.98,1,110.59,1,4,0,1,0,0,0,0,0,0,0,2015,313.22,313.2198259757803
313.22,472.0,9,12.15,0,0,607.98,1,4.57,1,4,0,0,0,0,0,1,0,0,0,2015,313.22,313.22088018590625
313.22,472.0,9,0.0,0,0,607.98,1,27.38,1,4,0,0,0,0,0,0,0,0,0,2015,313.22,313.21944766594885
313.22,472.0,9,0.33,0,0,607.98,1,10.88,1,4,0,0,0,0,0,0,0,0,0,2015,313.22,313.2202139811762
186.18,454.0,9,9.54,0,0,269.55,1,88.14,2,4,0,1,1,0,0,0,0,0,0,2015,186.18,186.18030326884815
186.18,454.0,9,0.97,0,0,269.55,1,16.46,2,4,0,0,1,0,0,0,0,0,0,2015,186.18,186.18027660742365
186.18,454.0,9,1.23,0,0,269.55,1,23.09,2,4,0,0,1,0,0,0,0,0,0,2015,186.18,186.18009373143775
186.18,454.0,9,0.0,0,0,269.55,1,26.2,2,4,0,0,1,0,0,0,0,0,0,2015,186.18,186.1800884852109
186.18,454.0,9,14.0,0,0,269.55,1,3.8,2,4,0,0,1,0,0,1,0,0,0,2015,186.18,186.1806978776745
186.18,454.0,9,1.35,0,0,269.55,1,14.14,2,4,0,0,1,0,0,0,0,0,0,2015,186.18,186.18027536272226
87.18,143.0,9,10.61,0,0,131.9,1,47.95,3,1,0,1,2,0,0,0,0,0,0,2015,87.18,87.18019147331913
87.18,143.0,9,17.4,0,0,131.9,1,29.7,3,1,0,0,2,0,0,0,0,0,0,2015,87.18,87.18009048770742
